,Ticker,Name,Exchange,output
0,A,Agilent Technologies,NYSE,Agilent Technologies (A)
1,AA,Alcoa Inc.,NYSE,Alcoa Inc. (AA)
2,AAN,Aaron's Inc,NYSE,Aaron's Inc (AAN)
3,AAT,American Assets Trust,NYSE,American Assets Trust (AAT)
4,AAV,Advantage Oil & Gas Ltd,NYSE,Advantage Oil & Gas Ltd (AAV)
5,AB,Alliance Capital Management L.P.,NYSE,Alliance Capital Management L.P. (AB)
6,ABB,Abb Ltd,NYSE,Abb Ltd (ABB)
7,ABBV,Abbvie Inc. Common Stock,NYSE,Abbvie Inc. Common Stock (ABBV)
8,ABC,Amerisourcebergen Corporation,NYSE,Amerisourcebergen Corporation (ABC)
9,ABM,Abm Industries Incorporated,NYSE,Abm Industries Incorporated (ABM)
10,ABR,Arbor Realty Trust,NYSE,Arbor Realty Trust (ABR)
11,ABR-PA,Arbor Realty Trust Preferred Se,NYSE,Arbor Realty Trust Preferred Se (ABR-PA)
12,ABR-PB,Arbor Realty Trust Cumulative R,NYSE,Arbor Realty Trust Cumulative R (ABR-PB)
13,ABT,Abbot Laboratories,NYSE,Abbot Laboratories (ABT)
14,ABV,Companhia De Bebidas - Ambev,NYSE,Companhia De Bebidas - Ambev (ABV)
15,ABV.C,Companhia De Bebidas - Ambev,NYSE,Companhia De Bebidas - Ambev (ABV.C)
16,ABW-PB,Associated Banc-Corp Depositary,NYSE,Associated Banc-Corp Depositary (ABW-PB)
17,ABX,Barrick Gold Corp.,NYSE,Barrick Gold Corp. (ABX)
18,ACE,Ace Limited,NYSE,Ace Limited (ACE)
19,ACG,Alliancebernstein Income Fund Inc,NYSE,Alliancebernstein Income Fund Inc (ACG)
20,ACH,Aluminum Corporation of China Ltd.,NYSE,Aluminum Corporation of China Ltd. (ACH)
21,ACI,Arch Coal,NYSE,Arch Coal (ACI)
22,ACM,Aecom Technology Corp.,NYSE,Aecom Technology Corp. (ACM)
23,ACMP,Access Midstream Partners L.P.,NYSE,Access Midstream Partners L.P. (ACMP)
24,ACN,Accenture Plc.,NYSE,Accenture Plc. (ACN)
25,ACO,Amcol International Corp.,NYSE,Amcol International Corp. (ACO)
26,ACP,Avenue Income Credit Strategies,NYSE,Avenue Income Credit Strategies (ACP)
27,ACRE,Ares Commercial Real Estate Cor,NYSE,Ares Commercial Real Estate Cor (ACRE)
28,ACT,Actavis Inc.,NYSE,Actavis Inc. (ACT)
29,ACTV,Active Network Inc,NYSE,Active Network Inc (ACTV)
30,ACW,Accuride Corporation New,NYSE,Accuride Corporation New (ACW)
31,ADC,Agree Realty Corp.,NYSE,Agree Realty Corp. (ADC)
32,ADM,Archer-Daniels-Midland Company,NYSE,Archer-Daniels-Midland Company (ADM)
33,ADS,Alliance Data Systems Corp.,NYSE,Alliance Data Systems Corp. (ADS)
34,ADT,Adt Corporation Common Stock W,NYSE,Adt Corporation Common Stock W (ADT)
35,ADX,Adams Express Company,NYSE,Adams Express Company (ADX)
36,AEB,Aegon Express Company,NYSE,Aegon Express Company (AEB)
37,AEC,Associated Estates Realty Corp.,NYSE,Associated Estates Realty Corp. (AEC)
38,AED,Aegon Nv,NYSE,Aegon Nv (AED)
39,AEE,Ameren Corp.,NYSE,Ameren Corp. (AEE)
40,AEF,Aegon Nv,NYSE,Aegon Nv (AEF)
41,AEG,Aegon Nv,NYSE,Aegon Nv (AEG)
42,AEH,Aegon Nv,NYSE,Aegon Nv (AEH)
43,AEK,Aegon N.V. 8.00%,NYSE,Aegon N.V. 8.00% (AEK)
44,AEL,American Equity Investment Life,NYSE,American Equity Investment Life (AEL)
45,AEM,Agnico-Eagle Mines Limited,NYSE,Agnico-Eagle Mines Limited (AEM)
46,AEO,American Eagle Outfitters,NYSE,American Eagle Outfitters (AEO)
47,AEP,American Electric Power Company,NYSE,American Electric Power Company (AEP)
48,AER,Aercap Holdings N.V.,NYSE,Aercap Holdings N.V. (AER)
49,AES,The Aes Corp.,NYSE,The Aes Corp. (AES)
50,AES-PC,AES Corporation Class C P,NYSE,AES Corporation Class C P (AES-PC)
51,AET,Aetna Inc.,NYSE,Aetna Inc. (AET)
52,AEV,Aegon Nv,NYSE,Aegon Nv (AEV)
53,AF,Astoria Financial Corp.,NYSE,Astoria Financial Corp. (AF)
54,AFA,American Financial Group Inc.,NYSE,American Financial Group Inc. (AFA)
55,AFB,Alliance National Municipal,NYSE,Alliance National Municipal (AFB)
56,AFC,Allied Capital Corp.,NYSE,Allied Capital Corp. (AFC)
57,AFG,American Financial Group  ,NYSE,American Financial Group   (AFG)
58,AFL,Aflac Incorporated,NYSE,Aflac Incorporated (AFL)
59,AFM,Affiliated Managers Group Inc,NYSE,Affiliated Managers Group Inc (AFM)
60,AFQ,American Financial Group,NYSE,American Financial Group (AFQ)
61,AFSD,Aflac Incorporated,NYSE,Aflac Incorporated (AFSD)
62,AFT,Apollo Senior Floating Rate Fund Inc.,NYSE,Apollo Senior Floating Rate Fund Inc. (AFT)
63,AFW,American Financial Group Inc.,NYSE,American Financial Group Inc. (AFW)
64,AG,First Majestic Silver,NYSE,First Majestic Silver (AG)
65,AGC,Advent Claymore Convertible Securities,NYSE,Advent Claymore Convertible Securities (AGC)
66,AGCO,Agco Corp.,NYSE,Agco Corp. (AGCO)
67,AGD,Alpine Global Dynamic Dividend Fund,NYSE,Alpine Global Dynamic Dividend Fund (AGD)
68,AGI,Alamos Gold Inc.,NYSE,Alamos Gold Inc. (AGI)
69,AGM,Federal Agricultural Mortgage Corp.,NYSE,Federal Agricultural Mortgage Corp. (AGM)
70,AGM-A,Federal Agricultural Mortgage  ,NYSE,Federal Agricultural Mortgage   (AGM-A)
71,AGM.A,Federal Agricultural Mortgage Corp.,NYSE,Federal Agricultural Mortgage Corp. (AGM.A)
72,AGN,Allergan,NYSE,Allergan (AGN)
73,AGO,Assured Guaranty Ltd,NYSE,Assured Guaranty Ltd (AGO)
74,AGO-PF,Assured Guaranty Ltd [B],NYSE,Assured Guaranty Ltd [B] (AGO-PF)
75,AGO-E,Assured Guaranty Ltd [E],NYSE,Assured Guaranty Ltd [E] (AGO-E)
76,AGO-F,Assured Guaranty Ltd [F],NYSE,Assured Guaranty Ltd [F] (AGO-F)
77,AGRO,Adecoagro S.A.,NYSE,Adecoagro S.A. (AGRO)
78,AGU,Agrium Inc.,NYSE,Agrium Inc. (AGU)
79,AH,Accretive Health,NYSE,Accretive Health (AH)
80,AHC,A.H. Belo Corp.,NYSE,A.H. Belo Corp. (AHC)
81,AHH,Armada Hoffler Properties Inc.,NYSE,Armada Hoffler Properties Inc. (AHH)
82,AHL,Aspen Insurance Holdings,NYSE,Aspen Insurance Holdings (AHL)
83,AHL-PA,Aspen Insurance Holdings Limite,NYSE,Aspen Insurance Holdings Limite (AHL-PA)
84,AHL-PC,Aspen Insurance Holdings Limite,NYSE,Aspen Insurance Holdings Limite (AHL-PC)
85,AHL-C,Aspen ins Pfd Inc,NYSE,Aspen ins Pfd Inc (AHL-C)
86,AHS,Amn Healthcare Services Inc,NYSE,Amn Healthcare Services Inc (AHS)
87,AHT,Ashford Hospitality Trust Inc,NYSE,Ashford Hospitality Trust Inc (AHT)
88,AHT-PA,Ashford Hospitality Trust Inc 8,NYSE,Ashford Hospitality Trust Inc 8 (AHT-PA)
89,AHT-PD,Ashford Hospitality Trust Inc 8,NYSE,Ashford Hospitality Trust Inc 8 (AHT-PD)
90,AI,Arlington Asset Investment Corp,NYSE,Arlington Asset Investment Corp (AI)
91,AIB,Apollo Investment Corporation,NYSE,Apollo Investment Corporation (AIB)
92,AIF,Apollo Tactical Income Fund Inc,NYSE,Apollo Tactical Income Fund Inc (AIF)
93,AIG,American International Group,NYSE,American International Group (AIG)
94,AIG-WT,American International Group,NYSE,American International Group (AIG-WT)
95,AIN,Albany International Corp.,NYSE,Albany International Corp. (AIN)
96,AIR,Aar ,NYSE,Aar  (AIR)
97,AIT,Applied Industrial Technologies,NYSE,Applied Industrial Technologies (AIT)
98,AIV,Apartment Investment And Management,NYSE,Apartment Investment And Management (AIV)
99,AIV-Z,Aparment Inv. & Mgt. Co.,NYSE,Aparment Inv. & Mgt. Co. (AIV-Z)
100,AIW,Arlington Asset Investment Cor ,NYSE,Arlington Asset Investment Cor  (AIW)
101,AIY,Apollo Investment Corporation,NYSE,Apollo Investment Corporation (AIY)
102,AIZ,Assurant,NYSE,Assurant (AIZ)
103,AJG,Arthur J. Gallagher & Co.,NYSE,Arthur J. Gallagher & Co. (AJG)
104,AKO.A,Embotell Andina Sa A,NYSE,Embotell Andina Sa A (AKO.A)
105,AKO.B,Embotell Andina Sa B,NYSE,Embotell Andina Sa B (AKO.B)
106,AKP,Alliance California Muni,NYSE,Alliance California Muni (AKP)
107,AKR,Acadia Realty Trust,NYSE,Acadia Realty Trust (AKR)
108,AKS,Ak Steel Holding Corp.,NYSE,Ak Steel Holding Corp. (AKS)
109,AL,Air Lease Corporation Class A C,NYSE,Air Lease Corporation Class A C (AL)
110,ALB,Albemarle Corp.,NYSE,Albemarle Corp. (ALB)
111,ALDW,Alon USA Partners Lp,NYSE,Alon USA Partners Lp (ALDW)
112,ALE,Allete,NYSE,Allete (ALE)
113,ALEX,Alexander And Baldwin Inc,NYSE,Alexander And Baldwin Inc (ALEX)
114,ALG,Alamo Group,NYSE,Alamo Group (ALG)
115,ALJ,Alon USA Energy,NYSE,Alon USA Energy (ALJ)
116,ALK,Alaska Air Group,NYSE,Alaska Air Group (ALK)
117,ALL,Allstate Corporation,NYSE,Allstate Corporation (ALL)
118,ALL-A,Gmac Capital Trust I Fixed Rate,NYSE,Gmac Capital Trust I Fixed Rate (ALL-A)
119,ALL-B,Ally Financial Inc Fixed Rate F,NYSE,Ally Financial Inc Fixed Rate F (ALL-B)
120,ALP-N,Alabama Pwr 5.2A Pfd,NYSE,Alabama Pwr 5.2A Pfd (ALP-N)
121,ALP-O,Alabama Pwr 5.83A Pf,NYSE,Alabama Pwr 5.83A Pf (ALP-O)
122,ALP-P,Alabama Power 5.30 A,NYSE,Alabama Power 5.30 A (ALP-P)
123,ALR,Alere Inc.,NYSE,Alere Inc. (ALR)
124,ALR-B,Alere Inc. inverness Medical In,NYSE,Alere Inc. inverness Medical In (ALR-B)
125,ALSN,Allison Transmission Holdings,NYSE,Allison Transmission Holdings (ALSN)
126,ALU,Alcatel Lucent,NYSE,Alcatel Lucent (ALU)
127,ALV,Autoliv,NYSE,Autoliv (ALV)
128,ALX,Alexander's,NYSE,Alexander's (ALX)
129,AM,American Greetings Corp.,NYSE,American Greetings Corp. (AM)
130,AMD,Advanced Micro Devices,NYSE,Advanced Micro Devices (AMD)
131,AME,Amtek,NYSE,Amtek (AME)
132,AMG,Affiliated Managers Group  ,NYSE,Affiliated Managers Group   (AMG)
133,AMH,American Homes 4 Rent,NYSE,American Homes 4 Rent (AMH)
134,AMID,American Midsteampartners Lp,NYSE,American Midsteampartners Lp (AMID)
135,AMP,Ameriprise Financial Services,NYSE,Ameriprise Financial Services (AMP)
136,AMP-A,Ameriprise Financial  ,NYSE,Ameriprise Financial   (AMP-A)
137,AMRC,Ameresco Inc,NYSE,Ameresco Inc (AMRC)
138,AMRE,Amreit Inc.,NYSE,Amreit Inc. (AMRE)
139,AMT,American Tower Corp.,NYSE,American Tower Corp. (AMT)
140,AMT-A,Apollo Residential Preferred,NYSE,Apollo Residential Preferred (AMT-A)
141,AMTD,TD Ameritrade Holding Corp.,NYSE,TD Ameritrade Holding Corp. (AMTD)
142,AMTG,Apollo Residential Mortgage In,NYSE,Apollo Residential Mortgage In (AMTG)
143,AMX,American Movil S.A.B. De C.V.,NYSE,American Movil S.A.B. De C.V. (AMX)
144,AN,Autonation,NYSE,Autonation (AN)
145,ANF,Abercrombie & Fitch Company,NYSE,Abercrombie & Fitch Company (ANF)
146,ANFI,Amira Nature Foods Ltd,NYSE,Amira Nature Foods Ltd (ANFI)
147,ANH,Anworth Mortgage Asset Corp.,NYSE,Anworth Mortgage Asset Corp. (ANH)
148,ANH-A,Anworth Mtg Pfd A,NYSE,Anworth Mtg Pfd A (ANH-A)
149,ANH-B,Anworth 6.25 Pr S B,NYSE,Anworth 6.25 Pr S B (ANH-B)
150,ANN,Ann Inc,NYSE,Ann Inc (ANN)
151,ANR,Alpha Natural Resources,NYSE,Alpha Natural Resources (ANR)
152,ANW,Aegean Marine Petroleum Network,NYSE,Aegean Marine Petroleum Network (ANW)
153,AOD,Alpine Total Dynamic Dividend,NYSE,Alpine Total Dynamic Dividend (AOD)
154,AOI,Alliance One International,NYSE,Alliance One International (AOI)
155,AOL,Aol Inc.,NYSE,Aol Inc. (AOL)
156,AON,Aon Plc,NYSE,Aon Plc (AON)
157,AOS,Smith [A.O.] Corp.,NYSE,Smith [A.O.] Corp. (AOS)
158,AP,Ampco-Pittsburgh Corp.,NYSE,Ampco-Pittsburgh Corp. (AP)
159,APA,Apache Corp.,NYSE,Apache Corp. (APA)
160,APA-D,Apache Corporation,NYSE,Apache Corporation (APA-D)
161,APAM,Artisan Partners Asset Manageme,NYSE,Artisan Partners Asset Manageme (APAM)
162,APB,Asia Pacific Fund Inc.,NYSE,Asia Pacific Fund Inc. (APB)
163,APC,Anadarko Petroleum Corp.,NYSE,Anadarko Petroleum Corp. (APC)
164,APD,Air Products And Chemicals,NYSE,Air Products And Chemicals (APD)
165,APF,Morgan Stanley Asia Pacific Fund Inc.,NYSE,Morgan Stanley Asia Pacific Fund Inc. (APF)
166,APH,Amphenol Corp.,NYSE,Amphenol Corp. (APH)
167,APL,Atlas Pipeline Partners L.P.,NYSE,Atlas Pipeline Partners L.P. (APL)
168,APO,Apollo Global Management LLc C,NYSE,Apollo Global Management LLc C (APO)
169,APU,Amerigas Partners L.P.,NYSE,Amerigas Partners L.P. (APU)
170,ARB,Arbitron Inc.,NYSE,Arbitron Inc. (ARB)
171,ARC,American Reprographics Company,NYSE,American Reprographics Company (ARC)
172,ARDC,Ares Dynamic Credit Allocation,NYSE,Ares Dynamic Credit Allocation (ARDC)
173,ARE,Alexandria Real Estate Equities,NYSE,Alexandria Real Estate Equities (ARE)
174,ARE-E,Alexandria Real Estate Equite,NYSE,Alexandria Real Estate Equite (ARE-E)
175,ARG,Airgas,NYSE,Airgas (ARG)
176,ARH-C,Arch Capital Group Ltd. 6.75% P,NYSE,Arch Capital Group Ltd. 6.75% P (ARH-C)
177,ARI,Apollo Commercial Real Estate,NYSE,Apollo Commercial Real Estate (ARI)
178,ARI-A,Apollo Commercial Real Estate,NYSE,Apollo Commercial Real Estate (ARI-A)
179,ARK,Senior High Income Portfolio,NYSE,Senior High Income Portfolio (ARK)
180,ARL,American Realty Investors,NYSE,American Realty Investors (ARL)
181,ARN,Ares Capital Corporation 7.00%,NYSE,Ares Capital Corporation 7.00% (ARN)
182,ARO,Aeropostale Inc,NYSE,Aeropostale Inc (ARO)
183,ARP,Atlas Resource Partners L.P. C,NYSE,Atlas Resource Partners L.P. C (ARP)
184,ARPI,American Residential Properties,NYSE,American Residential Properties (ARPI)
185,ARR,Armour Residential R,NYSE,Armour Residential R (ARR)
186,ARR-A,Armour Residential REIT Inc,NYSE,Armour Residential REIT Inc (ARR-A)
187,ARR-B,Armour Residential REIT Inc,NYSE,Armour Residential REIT Inc (ARR-B)
188,ARSD,Arabian American Development,NYSE,Arabian American Development (ARSD)
189,ARU,Ares Capital Corporation  ,NYSE,Ares Capital Corporation   (ARU)
190,ARW,Arrow Electronics,NYSE,Arrow Electronics (ARW)
191,ARX,Aeroflex Holding,NYSE,Aeroflex Holding (ARX)
192,ARY,Ares Capital Corp.,NYSE,Ares Capital Corp. (ARY)
193,ASA,Asa Gold And Precious Metals,NYSE,Asa Gold And Precious Metals (ASA)
194,ASC,Ardmore Shipping Corporation,NYSE,Ardmore Shipping Corporation (ASC)
195,ASG,Liberty All-Star Growth Fund,NYSE,Liberty All-Star Growth Fund (ASG)
196,ASGN,On Assignment,NYSE,On Assignment (ASGN)
197,ASH,Ashland Inc.,NYSE,Ashland Inc. (ASH)
198,ASI,American Safety Insurance Holdings,NYSE,American Safety Insurance Holdings (ASI)
199,ASP,American Strategic Income Portfolio,NYSE,American Strategic Income Portfolio (ASP)
200,ASR,Grupo Aeroporuario Del Sureste,NYSE,Grupo Aeroporuario Del Sureste (ASR)
201,ASX,Advanced Semiconductor Engineering,NYSE,Advanced Semiconductor Engineering (ASX)
202,AT,Atlantic Power Corp.,NYSE,Atlantic Power Corp. (AT)
203,ATE,Advantest Corporation Ads,NYSE,Advantest Corporation Ads (ATE)
204,ATHL,Athlon Energy Inc.,NYSE,Athlon Energy Inc. (ATHL)
205,ATI,Allagheny Technologies Inc.,NYSE,Allagheny Technologies Inc. (ATI)
206,ATK,Alliant Techsystems Inc.,NYSE,Alliant Techsystems Inc. (ATK)
207,ATLS,Atlas Energy Corp.,NYSE,Atlas Energy Corp. (ATLS)
208,ATO,Atmos Energy Llc,NYSE,Atmos Energy Llc (ATO)
209,ATR,Aptargroup,NYSE,Aptargroup (ATR)
210,ATU,Actuant Corp.,NYSE,Actuant Corp. (ATU)
211,ATV,Acorn International,NYSE,Acorn International (ATV)
212,ATW,Atwood Oceanics,NYSE,Atwood Oceanics (ATW)
213,AU,Anglogold Ashanti Ltd,NYSE,Anglogold Ashanti Ltd (AU)
214,AU-A,Anglogold Ashanti Holdings Fin,NYSE,Anglogold Ashanti Holdings Fin (AU-A)
215,AUO,Au Optronics Corp,NYSE,Au Optronics Corp (AUO)
216,AUQ,Aurico Gold Inc,NYSE,Aurico Gold Inc (AUQ)
217,AUY,Yamana Gold,NYSE,Yamana Gold (AUY)
218,AV,Aviva Plc,NYSE,Aviva Plc (AV)
219,AVA,Avista Corp.,NYSE,Avista Corp. (AVA)
220,AVB,Avalonbay Communities,NYSE,Avalonbay Communities (AVB)
221,AVD,American Vanguard Corp.,NYSE,American Vanguard Corp. (AVD)
222,AVG,Avg Technologies N.V.,NYSE,Avg Technologies N.V. (AVG)
223,AVIV ,Aviv REIT Inc. Common Stock,NYSE,Aviv REIT Inc. Common Stock (AVIV )
224,AVK,Advent Claymore Convertible Securities,NYSE,Advent Claymore Convertible Securities (AVK)
225,AVP,Avon Products,NYSE,Avon Products (AVP)
226,AVT,Avnet,NYSE,Avnet (AVT)
227,AVV,Aviva Plc,NYSE,Aviva Plc (AVV)
228,AVX,Avx Corp.,NYSE,Avx Corp. (AVX)
229,AVY,Avery Dennison Corp.,NYSE,Avery Dennison Corp. (AVY)
230,AWC,Alumina Ltd,NYSE,Alumina Ltd (AWC)
231,AWF,Alliance World Dollar Fund II,NYSE,Alliance World Dollar Fund II (AWF)
232,AWH,Allied World Assurance Company,NYSE,Allied World Assurance Company (AWH)
233,AWI,Armstrong World Industries Inc,NYSE,Armstrong World Industries Inc (AWI)
234,AWK,American Water Works,NYSE,American Water Works (AWK)
235,AWP,Alpine Global Premier Propertie,NYSE,Alpine Global Premier Propertie (AWP)
236,AWR,American States Water Company,NYSE,American States Water Company (AWR)
237,AXE,Anixter International Inc.,NYSE,Anixter International Inc. (AXE)
238,AXL,American Axle & Manufacturing,NYSE,American Axle & Manufacturing (AXL)
239,AXLL,Georgia Gulf Corp.,NYSE,Georgia Gulf Corp. (AXLL)
240,AXP,American Express Company,NYSE,American Express Company (AXP)
241,AXR,Amrep Corp.,NYSE,Amrep Corp. (AXR)
242,AXS,Axis Capital Holdings,NYSE,Axis Capital Holdings (AXS)
243,AXS-C,Axis Capital Holdings Limited P,NYSE,Axis Capital Holdings Limited P (AXS-C)
244,AXS-D,Axis Capital Holdings Limited  ,NYSE,Axis Capital Holdings Limited   (AXS-D)
245,AYI,Acuity Brands Inc,NYSE,Acuity Brands Inc (AYI)
246,AYN,Alliance New York Muni,NYSE,Alliance New York Muni (AYN)
247,AYR,Aircastle Limited,NYSE,Aircastle Limited (AYR)
248,AZN,Astrazeneca Plc,NYSE,Astrazeneca Plc (AZN)
249,AZO,Autozone,NYSE,Autozone (AZO)
250,AZZ,Azz Inc.,NYSE,Azz Inc. (AZZ)
251,BCA,Corpbanca,NYSE,Corpbanca (BCA)
252,BCC,Boise Cascade L.L.C. Common ST,NYSE,Boise Cascade L.L.C. Common ST (BCC)
253,BCE,Bce,NYSE,Bce (BCE)
254,BCEI,Bonanza Creek Energy Inc.,NYSE,Bonanza Creek Energy Inc. (BCEI)
255,BCF,Blackrock Real Asset Equity Trust,NYSE,Blackrock Real Asset Equity Trust (BCF)
256,BCH,Banco De Chile,NYSE,Banco De Chile (BCH)
257,BCO,Brink's Company,NYSE,Brink's Company (BCO)
258,BCR,C.R. Bard,NYSE,C.R. Bard (BCR)
259,BCS,Barclays Plc,NYSE,Barclays Plc (BCS)
260,BCS-A,Barclays Ads,NYSE,Barclays Ads (BCS-A)
261,BCS-C,Barclays Bank 4 Ads,NYSE,Barclays Bank 4 Ads (BCS-C)
262,BCS-D,Barclays Bank Plc,NYSE,Barclays Bank Plc (BCS-D)
263,BCS.P,Barclays Bk ADR Sr 2,NYSE,Barclays Bk ADR Sr 2 (BCS.P)
264,BCX,Blackrock Resources Common Shar,NYSE,Blackrock Resources Common Shar (BCX)
265,BDC,Belden Inc,NYSE,Belden Inc (BDC)
266,BDJ,Blackrock Enhanced Dividend Achievers,NYSE,Blackrock Enhanced Dividend Achievers (BDJ)
267,BDN,Brandywine Realty Trust,NYSE,Brandywine Realty Trust (BDN)
268,BDN-E,Brandywine Realty Trust,NYSE,Brandywine Realty Trust (BDN-E)
269,BDX,Becton Dickinson And Company,NYSE,Becton Dickinson And Company (BDX)
270,BEAM,Beam Inc,NYSE,Beam Inc (BEAM)
271,BEE,Strategic Hotels & Resorts Inc,NYSE,Strategic Hotels & Resorts Inc (BEE)
272,BEE-A,Strategic Hotels A,NYSE,Strategic Hotels A (BEE-A)
273,BEE-B,Strategic Hotel Pf B,NYSE,Strategic Hotel Pf B (BEE-B)
274,BEE-C,Strategic H&R Srs C,NYSE,Strategic H&R Srs C (BEE-C)
275,BEN,Franklin Resources,NYSE,Franklin Resources (BEN)
276,BEP,Brookfield Renewable,NYSE,Brookfield Renewable (BEP)
277,BERY,Berry Plastics Group Inc.,NYSE,Berry Plastics Group Inc. (BERY)
278,BF.A,Brown Forman Inc A,NYSE,Brown Forman Inc A (BF.A)
279,BF.B,Brown Forman Inc B,NYSE,Brown Forman Inc B (BF.B)
280,BFAM,Bright Horizons Family Solutions Inc.,NYSE,Bright Horizons Family Solutions Inc. (BFAM)
281,BFK,Blackrock Florida Muni 2020 Trust,NYSE,Blackrock Florida Muni 2020 Trust (BFK)
282,BFR,Bbva Banco Frances S.A.,NYSE,Bbva Banco Frances S.A. (BFR)
283,BFS,Saul Centers,NYSE,Saul Centers (BFS)
284,BFS-A,Saul Ctrs Dep Pfd A,NYSE,Saul Ctrs Dep Pfd A (BFS-A)
285,BFS-C,Saul Centers Inc,NYSE,Saul Centers Inc (BFS-C)
286,BFZ,Blackrock California Muni Trust,NYSE,Blackrock California Muni Trust (BFZ)
287,BG,Bunge Limited,NYSE,Bunge Limited (BG)
288,BGB,Blackstone / Gso Strategic Cre,NYSE,Blackstone / Gso Strategic Cre (BGB)
289,BGC,General Cable Corp.,NYSE,General Cable Corp. (BGC)
290,BGCA,Bgc Partners Inc.,NYSE,Bgc Partners Inc. (BGCA)
291,BGE-B,Bge Capital Trust II,NYSE,Bge Capital Trust II (BGE-B)
292,BGG,Briggs & Stratton Corp.,NYSE,Briggs & Stratton Corp. (BGG)
293,BGH,Babson Capital Global Short Du,NYSE,Babson Capital Global Short Du (BGH)
294,BGR,Blackrock Energy And Resources Trust,NYSE,Blackrock Energy And Resources Trust (BGR)
295,BGS,B&G Foods Holdings,NYSE,B&G Foods Holdings (BGS)
296,BGT,Blackrock Global,NYSE,Blackrock Global (BGT)
297,BGX,Blacstone Gso Long Short Credit Fund,NYSE,Blacstone Gso Long Short Credit Fund (BGX)
298,BGY,Blackrock International,NYSE,Blackrock International (BGY)
299,BH,Biglari Holdings Inc.,NYSE,Biglari Holdings Inc. (BH)
300,BHD,Blackrock International,NYSE,Blackrock International (BHD)
301,BHE,Benchmark Electronics,NYSE,Benchmark Electronics (BHE)
302,BHI,Baker Hughes Inc.,NYSE,Baker Hughes Inc. (BHI)
303,BHK,Blackrock Core Trust,NYSE,Blackrock Core Trust (BHK)
304,BHL,Blackrock Defined Opportunity Trust,NYSE,Blackrock Defined Opportunity Trust (BHL)
305,BHLB,Berkshire Hills Bancorp,NYSE,Berkshire Hills Bancorp (BHLB)
306,BHP,Bhp Billiton Limited,NYSE,Bhp Billiton Limited (BHP)
307,BHY,Blackrock High Yield Trust,NYSE,Blackrock High Yield Trust (BHY)
308,BID,Sotheby's Holdings,NYSE,Sotheby's Holdings (BID)
309,BIE,Blackrock Muni Bond Investment Trust,NYSE,Blackrock Muni Bond Investment Trust (BIE)
310,BIF,Uslife Income Fund,NYSE,Uslife Income Fund (BIF)
311,BIG,Big Lots,NYSE,Big Lots (BIG)
312,BIN,Iesi-Bfc Ltd,NYSE,Iesi-Bfc Ltd (BIN)
313,BIO,Bio-Rad Laboratories,NYSE,Bio-Rad Laboratories (BIO)
314,BIO.B,Bio Rad Labs CI B,NYSE,Bio Rad Labs CI B (BIO.B)
315,BIOA,Bioamber Inc.,NYSE,Bioamber Inc. (BIOA)
316,BIP,Brookfield Infrastructure Partners Lp,NYSE,Brookfield Infrastructure Partners Lp (BIP)
317,BIT,Blackrock Multi-Sector Income T,NYSE,Blackrock Multi-Sector Income T (BIT)
318,BITA,Bitauto Holdings Limited,NYSE,Bitauto Holdings Limited (BITA)
319,BJZ,Blackrock California Muni 2018 Trust,NYSE,Blackrock California Muni 2018 Trust (BJZ)
320,BK,Bank Of New York Mellon Corp.,NYSE,Bank Of New York Mellon Corp. (BK)
321,BK-C,The Bank Of New York Mellon Co,NYSE,The Bank Of New York Mellon Co (BK-C)
322,BKD,Brookdale Senior Living Inc.,NYSE,Brookdale Senior Living Inc. (BKD)
323,BKE,Buckle,NYSE,Buckle (BKE)
324,BKH,Black Hills Corp.,NYSE,Black Hills Corp. (BKH)
325,BKI,Buckeye Technologies,NYSE,Buckeye Technologies (BKI)
326,BKK,Blackrock Muni 2020 Trust,NYSE,Blackrock Muni 2020 Trust (BKK)
327,BKN,Blackrock Investment Quality Municipal,NYSE,Blackrock Investment Quality Municipal (BKN)
328,BKS,Barnes & Noble,NYSE,Barnes & Noble (BKS)
329,BKT,Blackrock Income Trust Inc.,NYSE,Blackrock Income Trust Inc. (BKT)
330,BKU,Bankunited,NYSE,Bankunited (BKU)
331,BKW,Burger King Wordwide,NYSE,Burger King Wordwide (BKW)
332,BLC,Belo Corp.,NYSE,Belo Corp. (BLC)
333,BLH,Blackrock New York Muni 2018 Trust,NYSE,Blackrock New York Muni 2018 Trust (BLH)
334,BLK,Blackrock,NYSE,Blackrock (BLK)
335,BLL,Ball Corp.,NYSE,Ball Corp. (BLL)
336,BLOX,Infoblox Inc.,NYSE,Infoblox Inc. (BLOX)
337,BLT,Blount International,NYSE,Blount International (BLT)
338,BLW,Blackrock Limited Duration Income Trust,NYSE,Blackrock Limited Duration Income Trust (BLW)
339,BLX,Banco Latinoamericano De Comercio,NYSE,Banco Latinoamericano De Comercio (BLX)
340,BMA,Banco Macro S.A.,NYSE,Banco Macro S.A. (BMA)
341,BME,Blackrock Health Sciences Trust,NYSE,Blackrock Health Sciences Trust (BME)
342,BMI,Badger Meter,NYSE,Badger Meter (BMI)
343,BML-G,Bank America Dep G,NYSE,Bank America Dep G (BML-G)
344,BML-H,Bank America Dep H,NYSE,Bank America Dep H (BML-H)
345,BML-I,Bank America Dep I,NYSE,Bank America Dep I (BML-I)
346,BML-L,Bank America Dep L,NYSE,Bank America Dep L (BML-L)
