,Ticker,Name,Exchange,output
1826,MNR-A,Monmouth Real Estate Inv,NYSE,Monmouth Real Estate Inv (MNR-A)
1827,MNR-B,Monmouth Real Estate Investmen,NYSE,Monmouth Real Estate Investmen (MNR-B)
1828,MO,Altria Group,NYSE,Altria Group (MO)
1829,MOD,Modine Manufacturing Company,NYSE,Modine Manufacturing Company (MOD)
1830,MODN,Model N Inc. Common Stock,NYSE,Model N Inc. Common Stock (MODN)
1831,MOG.A,Moog Inc.,NYSE,Moog Inc. (MOG.A)
1832,MOG.B,Moog Inc.,NYSE,Moog Inc. (MOG.B)
1833,MOH,Molina Healthcare Inc,NYSE,Molina Healthcare Inc (MOH)
1834,MON,Monsanto Company,NYSE,Monsanto Company (MON)
1835,MOS,Mosaic Company,NYSE,Mosaic Company (MOS)
1836,MOV,Movado Group Inc.,NYSE,Movado Group Inc. (MOV)
1837,MP-D,Mississippi Pr 5.25,NYSE,Mississippi Pr 5.25 (MP-D)
1838,MPA,Blackrock Muniyield Pennsylvania Quality,NYSE,Blackrock Muniyield Pennsylvania Quality (MPA)
1839,MPC,Marathon Petroleum Corporation,NYSE,Marathon Petroleum Corporation (MPC)
1840,MPG,Mpg Office Trust,NYSE,Mpg Office Trust (MPG)
1841,MPG-A,Maguire Pptys Pfd A,NYSE,Maguire Pptys Pfd A (MPG-A)
1842,MPLX,Mplx Lp,NYSE,Mplx Lp (MPLX)
1843,MPO,Midstates Petroleum Company I,NYSE,Midstates Petroleum Company I (MPO)
1844,MPR,Met-Pro Corp.,NYSE,Met-Pro Corp. (MPR)
1845,MPV,Massmutual Participation Investors,NYSE,Massmutual Participation Investors (MPV)
1846,MPW,Medical Properties Trust,NYSE,Medical Properties Trust (MPW)
1847,MPX,Marine Products Corp.,NYSE,Marine Products Corp. (MPX)
1848,MQT,Blackrock Muniyield Quality Fund II,NYSE,Blackrock Muniyield Quality Fund II (MQT)
1849,MQY,Blackrock Muniyield Quality Fund,NYSE,Blackrock Muniyield Quality Fund (MQY)
1850,MR,Mindray Medical International Limited,NYSE,Mindray Medical International Limited (MR)
1851,MRC,Mrc Global Inc.,NYSE,Mrc Global Inc. (MRC)
1852,MRF,American,NYSE,American (MRF)
1853,MRH,Montpelier Re Holdings Ltd,NYSE,Montpelier Re Holdings Ltd (MRH)
1854,MRH-A,Montpelier Re Holdings Ltd,NYSE,Montpelier Re Holdings Ltd (MRH-A)
1855,MRIN,Marin Sotfware Incorporated,NYSE,Marin Sotfware Incorporated (MRIN)
1856,MRK,Merck & Company,NYSE,Merck & Company (MRK)
1857,MRO,Marathon Oil Corp.,NYSE,Marathon Oil Corp. (MRO)
1858,MS,Morgan Stanley,NYSE,Morgan Stanley (MS)
1859,MS-A,Morgan Stanley Prfd 'A',NYSE,Morgan Stanley Prfd 'A' (MS-A)
1860,MSA,Mine Safety Appliances Company,NYSE,Mine Safety Appliances Company (MSA)
1861,MSB,Mesabi Trust,NYSE,Mesabi Trust (MSB)
1862,MSCA,Main Street Capital Corporatio,NYSE,Main Street Capital Corporatio (MSCA)
1863,MSCI,MSCI Inc,NYSE,MSCI Inc (MSCI)
1864,MSD,Morgan Stanley Emerging Markets Debt,NYSE,Morgan Stanley Emerging Markets Debt (MSD)
1865,MSF,Morgan Stanley Emerging Markets Fund Inc,NYSE,Morgan Stanley Emerging Markets Fund Inc (MSF)
1866,MSI,Motorola Solutions,NYSE,Motorola Solutions (MSI)
1867,MSJ,Morgan Stanley Cap Trust Vi Cap,NYSE,Morgan Stanley Cap Trust Vi Cap (MSJ)
1868,MSK,Morgan Stanley Cap TR ViII Gdt Cap,NYSE,Morgan Stanley Cap TR ViII Gdt Cap (MSK)
1869,MSM,Msc Industrial Direct Company,NYSE,Msc Industrial Direct Company (MSM)
1870,MSO,Martha Stewart Living Omnimedia,NYSE,Martha Stewart Living Omnimedia (MSO)
1871,MSP,Madison Strategic Sector Premium Fund,NYSE,Madison Strategic Sector Premium Fund (MSP)
1872,MSZ,Morgan Stanley Capital Trust Vii Cap,NYSE,Morgan Stanley Capital Trust Vii Cap (MSZ)
1873,MT,Arcelormittal,NYSE,Arcelormittal (MT)
1874,MTB,M&T Bank Corp.,NYSE,M&T Bank Corp. (MTB)
1875,MTB-A,M&T Cap TR Pfd,NYSE,M&T Cap TR Pfd (MTB-A)
1876,MTB-C,M&T Bank Corporation Fixed Rate,NYSE,M&T Bank Corporation Fixed Rate (MTB-C)
1877,MTB.P,M&T Bank Corporation Fixed Rate,NYSE,M&T Bank Corporation Fixed Rate (MTB.P)
1878,MTB.W,M&T Bank Corporation Warrants,NYSE,M&T Bank Corporation Warrants (MTB.W)
1879,MTCN,Arcelormittal,NYSE,Arcelormittal (MTCN)
1880,MTD,Mettler-Toledo International,NYSE,Mettler-Toledo International (MTD)
